TRANSLATION_NAME,"תירבע"
CHOOSE_CHANNELS,"Choose channels"
BALANCE_CURVE,"Balance curve"
CONFIRM_TO_SHARE_RECEIVER,"Are you sure you want to share this receiver?"
CONFIRM_TO_UNBIND_RECEIVER,"Are you sure you want to unbind this receiver?"
CONFIRM_FRSK_NOT_COMPATIBLE,"This FRSK file is not compatible with your device.\nAre you sure you want to continue?"
RX_VFR,"Rx VFR"
SMOKE_PUMP_VOLTAGE,"S.P voltage"
SMOKE_PUMP_CURRENT,"S.P current"
SMOKE_PUMP_TEMPERATURE,"S.P temp"
SMOKE_PUMP,"Smoke pump"
SOLENOID_VALVE,"Solenoid valve"
BIND_CARD,"Bind card"
WAITING_FOR_NFC_CARD,"Please hold the NFC key close to the RemoteNFC panel for binding ..."
BIND_CARD_SUCCESS,"Bind NFC card successfully!"
BIND_CARD_FAIL,"NFC card is not successfully bound!"
OVER_CURRENT,"Over current"
READ_MAG_ERROR,"Read mag error"
LOW_VOLTAGE,"Low voltage"
UNKNOWN_ERROR,"Unknown error"
WORKING_MODE,"Working mode"
ANGLE_MODE,"Angle mode"
RANGE_MODE,"Range mode"
ROTATE_MODE,"Rotate mode"
XACT_RANGE,"Range (Range mode only)"
XACT_MAX_ANGLE,"Max angle (Angle mode only)"
POT_GAP,"Pot gap"
